排名,球员,效力球队,位置,年龄,场数,时间,回合占有率,回合占有率  %,真实命中率,真实命中率  %,助攻率,助攻率  %,助攻率/回合占有率,助攻率/回合占有率  %,失误率,失误率  %
61,时德帅,天津先行者,大前锋,27,37,911,72,18.9%,30,51.4%,32,6.8%,19,0.36,39,14.6%
62,陆文博,浙江稠州金租,小前锋,25,34,901,39,15.4%,41,53.8%,30,6.8%,26,0.44,87,8.7%
63,朱旭航,浙江稠州金租,大前锋,29,31,898,79,20.3%,56,58.1%,57,9.2%,35,0.45,79,10.0%
64,刘晓宇,北京首钢,控球后卫,33,33,887,49,18.7%,45,49.9%,55,31.1%,64,1.67,62,17.0%
65,王睿泽,青岛每日优鲜,小前锋,27,37,875,67,18.5%,48,55.0%,61,10.9%,44,0.59,52,13.1%
66,黎伊扬,福建浔兴股份,控球后卫,24,38,873,62,21.1%,28,44.7%,87,40.2%,80,1.90,18,25.7%
67,陈辰,四川金荣实业,小前锋,30,36,869,81,21.2%,28,52.8%,81,14.5%,67,0.69,31,14.6%
68,任骏飞,广东东莞大益,大前锋,32,33,864,82,20.5%,63,58.8%,100,20.0%,98,0.97,44,14.0%
69,郭凯,广州龙狮,大前锋,29,28,863,53,17.7%,42,55.0%,61,9.5%,56,0.53,70,10.9%
70,周鹏,广东东莞大益,小前锋,33,32,856,87,21.8%,70,58.1%,91,17.2%,78,0.79,35,14.0%
71,黄荣奇,苏州肯帝亚,得分后卫,23,33,855,89,26.8%,8,41.9%,100,46.5%,95,1.74,13,24.2%
72,韩硕,四川金荣实业,控球后卫,36,27,853,51,18.8%,85,59.7%,47,28.2%,51,1.50,42,19.8%
73,吴羽佳,苏州肯帝亚,大前锋,23,35,849,9,12.3%,47,55.1%,28,6.3%,53,0.52,23,17.1%
74,李柏润,宁波甬兴证券,控球后卫,22,30,842,71,22.4%,53,51.5%,42,27.2%,25,1.22,38,20.3%
